name,type,resource_group,region,state,cost_relevance,verification
asora-pg-dev-ne,Microsoft.DBforPostgreSQL/flexibleServers,asora-psql-flex,northeurope,Succeeded,high,Verified
asora-function-dev,Microsoft.Web/sites,asora-psql-flex,northeurope,Succeeded,high,Verified
asora-cosmos-dev,Microsoft.DocumentDB/databaseAccounts,asora-psql-flex,northeurope,Succeeded,medium,Verified
asoraflexdev1404,Microsoft.Storage/storageAccounts,asora-psql-flex,northeurope,Succeeded,medium,Verified
asoramediadev,Microsoft.Storage/storageAccounts,asora-psql-flex,northeurope,Succeeded,medium,Verified
asorapsqlflex8fa9,Microsoft.Storage/storageAccounts,asora-psql-flex,northeurope,Succeeded,medium,Verified
stasoradsrdev,Microsoft.Storage/storageAccounts,asora-psql-flex,eastus,Provider-list only,high,Unverified resource-list discrepancy
kv-asora-dev,Microsoft.KeyVault/vaults,asora-psql-flex,northeurope,Succeeded,low,Verified
kv-asora-flex-dev,Microsoft.KeyVault/vaults,asora-psql-flex,northeurope,Succeeded,low,Verified
appi-asora-function-dev-dsr,Microsoft.Insights/components,asora-psql-flex,northeurope,Succeeded,medium,Verified
law-asora-dsr-dev-neu,Microsoft.OperationalInsights/workspaces,asora-psql-flex,northeurope,Succeeded,medium,Verified
vnet-asora-dev,Microsoft.Network/virtualNetworks,asora-psql-flex,northeurope,Succeeded,low,Verified
mi-asora-cicd,Microsoft.ManagedIdentity/userAssignedIdentities,asora-psql-flex,northeurope,Succeeded,low,Verified
